"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","Finland","Italy"
"2010-01-01 00:00:00",101.6288,100.7845
"2010-02-01 00:00:00",101.9391,100.2471
"2010-03-01 00:00:00",102.0063,99.91607
"2010-04-01 00:00:00",101.869,99.68867
"2010-05-01 00:00:00",101.6284,99.30585
"2010-06-01 00:00:00",101.6967,98.9668
"2010-07-01 00:00:00",101.9636,98.85482
"2010-08-01 00:00:00",102.2471,98.95102
"2010-09-01 00:00:00",102.3218,99.06339
"2010-10-01 00:00:00",102.0064,99.08997
"2010-11-01 00:00:00",101.4952,99.12771
"2010-12-01 00:00:00",100.971,99.14174
"2011-01-01 00:00:00",100.8571,98.87232
"2011-02-01 00:00:00",100.8608,98.59495
"2011-03-01 00:00:00",100.7908,98.31153
"2011-04-01 00:00:00",100.5533,98.08311
"2011-05-01 00:00:00",100.0371,98.00912
"2011-06-01 00:00:00",99.27667,98.09645
"2011-07-01 00:00:00",98.59889,98.00165
"2011-08-01 00:00:00",97.93961,97.8283
"2011-09-01 00:00:00",97.48454,97.64124
"2011-10-01 00:00:00",97.25526,97.50168
"2011-11-01 00:00:00",97.23117,97.54367
"2011-12-01 00:00:00",97.54175,97.36724
"2012-01-01 00:00:00",98.23158,97.24046
"2012-02-01 00:00:00",98.91278,97.3083
"2012-03-01 00:00:00",99.29647,97.11115
"2012-04-01 00:00:00",99.5109,96.40163
"2012-05-01 00:00:00",99.23664,95.86713
"2012-06-01 00:00:00",98.45435,95.76575
"2012-07-01 00:00:00",97.79316,96.0462
"2012-08-01 00:00:00",97.49933,96.36623
"2012-09-01 00:00:00",97.57938,96.42035
"2012-10-01 00:00:00",97.79783,96.36626
"2012-11-01 00:00:00",98.15223,96.16251
"2012-12-01 00:00:00",98.50675,96.0097
"2013-01-01 00:00:00",98.97798,96.05648
"2013-02-01 00:00:00",99.3953,96.22074
"2013-03-01 00:00:00",99.4219,96.39154
"2013-04-01 00:00:00",99.17368,96.70726
"2013-05-01 00:00:00",98.97065,96.97005
"2013-06-01 00:00:00",98.88194,97.29774
"2013-07-01 00:00:00",98.74371,97.44642
"2013-08-01 00:00:00",98.69208,97.56081
"2013-09-01 00:00:00",98.74617,97.63867
"2013-10-01 00:00:00",98.8597,97.47161
"2013-11-01 00:00:00",99.05196,97.45194
"2013-12-01 00:00:00",99.25731,97.44038
"2014-01-01 00:00:00",99.42899,97.53214
"2014-02-01 00:00:00",99.33371,97.93023
"2014-03-01 00:00:00",99.08327,98.60499
"2014-04-01 00:00:00",98.85965,99.28294
"2014-05-01 00:00:00",98.94344,99.62908
"2014-06-01 00:00:00",99.04918,99.42598
"2014-07-01 00:00:00",98.7967,98.91872
"2014-08-01 00:00:00",98.08659,98.49281
"2014-09-01 00:00:00",97.61169,98.32434
"2014-10-01 00:00:00",97.64268,98.19775
